STATE,count,total_damage,mean_damage,total_deaths
Texas,125419,119253413700.0,950840.093606232,1810
Louisiana,23501,96823824700.0,4119987.4345772523,1167
Florida,33139,84576701840.0,2552180.2661516643,1286
California,38748,36181430730.0,933762.5356147414,1237
Mississippi,32737,32877986520.0,1004306.6414149128,501
New Jersey,24625,28071883380.0,1139974.9595939086,328
Puerto Rico,6037,21748963680.0,3602611.177737287,259
North Carolina,46683,16433053040.0,352013.6460810145,621
Iowa,59425,12456770060.0,209621.70904501472,149
Georgia,46966,12104330860.0,257725.39411489162,338
Alabama,34703,11273837900.0,324866.3775466098,679
Colorado,44123,10643947140.0,241233.53217142986,315
Oklahoma,59131,9522419670.0,161039.38154267642,460
Missouri,59930,9330807210.0,155695.0977807442,824
Tennessee,38986,8814556250.0,226095.42528087005,577
Guam,595,7127406500.0,11978834.453781513,134
Nebraska,52112,7007261690.0,134465.41468375805,122
Ohio,42413,6928082850.0,163348.0972814939,260
Illinois,54943,6685185840.0,121674.9329304916,964
Michigan,29710,6286089450.0,211581.60383709188,226
North Dakota,27778,5983329050.0,215398.1226150191,73
Hawaii,15205,5889002580.0,387306.976652417,175
Arkansas,38235,5638217890.0,147462.21760167385,377
New York,48582,5408377510.0,111324.71923757771,594
Minnesota,47679,5235532570.0,109807.93577885443,206
Oregon,10895,4976174800.0,456739.31161083066,400
Washington,9606,4521481950.0,470693.519675203,322
Arizona,15687,4386676800.0,279637.71275578503,2907
Pennsylvania,45574,4172185710.0,91547.49879317154,794
Wisconsin,38536,4161623870.0,107993.14588955781,446
Kansas,75898,3973562780.0,52353.985348757546,252
Kentucky,48291,3326340720.0,68881.17288935826,438
Virginia,51309,3282638130.0,63977.823188914226,211
Indiana,34730,3182823500.0,91644.7883674057,332
New Mexico,21073,3161093320.0,150006.8011199165,173
South Dakota,47123,2623711180.0,55677.93179551387,126
South Carolina,27525,2415096510.0,87741.92588555858,278
Vermont,9765,1777976050.0,182076.40040962622,60
Maryland,22310,1499009770.0,67190.03899596594,232
West Virginia,24992,1322287860.0,52908.44510243278,134
Idaho,10304,1159637350.0,112542.44468167702,122
Nevada,7880,1087403250.0,137995.33629441625,889
Utah,10845,1018659000.0,93928.90733056708,246
Massachusetts,14983,903669130.0,60312.96335847294,59
Maine,14486,745984600.0,51496.93497169681,39
Alaska,9277,460663040.0,49656.46653012827,99
New Hampshire,7787,384210330.0,49339.967895209964,39
Montana,31833,336022250.0,10555.783306631483,139
American Samoa,522,287423000.0,550618.7739463601,54
Wyoming,23017,286816030.0,12461.05183125516,110
Connecticut,6322,259344560.0,41022.549826004426,61
District Of Columbia,896,185136600.0,206625.66964285713,16
Delaware,4368,178280790.0,40815.19917582418,37
Rhode Island,2361,131615600.0,55745.70097416349,18
Gulf Of Mexico,16862,69924140.0,4146.847349068912,69
Virgin Islands,418,39814300.0,95249.52153110047,11
Atlantic South,8840,5803430.0,656.4966063348417,26
Lake Michigan,3038,3520800.0,1158.9203423304805,12
Lake Erie,2483,1035500.0,417.03584373741444,3
Atlantic North,13472,481020.0,35.70516627078385,29
Lake Superior,1332,415000.0,311.5615615615616,8
E Pacific,231,202010.0,874.5021645021645,28
Lake Ontario,270,105000.0,388.8888888888889,0
Lake St Clair,611,100000.0,163.66612111292963,0
Gulf Of Alaska,37,31000.0,837.8378378378378,0
St Lawrence R,28,17000.0,607.1428571428571,0
Lake Huron,1095,7500.0,6.8493150684931505,0
Hawaii Waters,46,0.0,0.0,4
Guam Waters,2,0.0,0.0,4
