Feature,Importance_Mean,Importance_Std
BEGIN_LON,0.2441757452875693,0.0006750428676591408
BEGIN_LAT,0.23644581425023753,0.000578994560732882
DURATION_MIN,0.2222449870857346,0.0004056433067760971
EVENT_TYPE,0.22123270754942856,0.00044568711129436864
MAGNITUDE,0.21863375892208964,0.00043239221434162906
YEAR,0.21001333745242962,0.00037526931315305813
SEASON,0.13992247645468808,0.00029665294367111836
HOUR,0.11284089114109745,0.000327321787656508
DAY_OF_WEEK,0.0990887817611198,0.00036322751837951616
MONTH,0.098998961688807,0.0003640226447010096
PATH_LENGTH_DEG,0.08926017281176207,0.0002312331000886008
HUMAN_IMPACT,0.007865057744978443,8.560471687133057e-05
INJURIES_DIRECT,0.0036530643051002733,9.303155803448659e-05
DEATHS_DIRECT,0.0006494657637244993,2.8619362575833504e-05
INJURIES_INDIRECT,0.0001802563871380336,1.8695910070157976e-05
DEATHS_INDIRECT,0.00011553573473083167,8.550304568813098e-06
