eps,minPts,n_clusters,noise_pct,silhouette
0.003,20,78,74.065,-0.5111621486337677
0.003,30,27,88.535,-0.6481161941728222
0.003,50,6,97.48,-0.48042375909203155
0.003,75,1,99.33,-1.0
0.003,100,0,100.0,-1.0
0.005,20,93,31.119999999999997,-0.13034985053680662
0.005,30,52,52.955,-0.2628559730125473
0.005,50,24,76.69500000000001,-0.4682086961841858
0.005,75,8,90.84,-0.5500049120828768
0.005,100,4,95.695,-0.42878428296950394
0.007,20,26,12.85,-0.4150723466838963
0.007,30,33,22.205,-0.3044490291325838
0.007,50,34,48.65,-0.17375472848356516
0.007,75,19,67.855,-0.3287450413215296
0.007,100,10,82.14,-0.4521763656349945
0.01,20,13,5.3,0.012806033530335412
0.01,30,10,8.709999999999999,-0.1544539029872165
0.01,50,13,16.689999999999998,-0.23573884470883086
0.01,75,27,31.785000000000004,-0.04036230288738642
0.01,100,17,52.125,-0.12022442211398497
0.012,20,15,3.2800000000000002,-0.13536145003996794
0.012,30,8,5.75,-0.03459053804360694
0.012,50,10,10.18,-0.2031552913209384
0.012,75,9,16.735,-0.09402683492398191
0.012,100,22,26.334999999999997,-0.15135328830968664
0.015,20,10,1.645,0.20894267344338846
0.015,30,7,3.6700000000000004,0.14861933023851917
0.015,50,5,6.425,-0.0056007130724531964
0.015,75,6,9.594999999999999,-0.07151995671444242
0.015,100,4,13.08,0.02104709986476372
