From,To,Count,Support
Hail,Thunderstorm Wind,56968,0.3142923346831588
Thunderstorm Wind,Hail,51579,0.284561233159364
Thunderstorm Wind,Flash Flood,10380,0.057266437895154974
Tornado,Thunderstorm Wind,9675,0.053376954396495604
Thunderstorm Wind,Tornado,9153,0.05049708150812654
Flash Flood,Thunderstorm Wind,7799,0.04302706639155237
Tornado,Hail,7331,0.040445111388187
Hail,Tornado,7307,0.04031270343929647
Hail,Flash Flood,6135,0.03384678193514217
Flash Flood,Hail,4438,0.02448443654900749
Flash Flood,Flood,4354,0.02402100872789063
Thunderstorm Wind,Lightning,4159,0.02294519414315506
Winter Storm,Winter Weather,3720,0.020523232078032416
Lightning,Thunderstorm Wind,3688,0.020346688146178377
Flood,Flash Flood,3185,0.017571638217347647
Winter Weather,Winter Storm,3038,0.01676063953039314
Thunderstorm Wind,Flood,2235,0.012330490240430767
Heavy Snow,Winter Weather,2078,0.011464321574771872
Heavy Rain,Flash Flood,2028,0.011188471681249932
Hail,Funnel Cloud,1842,0.01016231007734831
Funnel Cloud,Hail,1827,0.010079555109291727
Hail,Lightning,1770,0.009765086230676715
Winter Weather,Heavy Snow,1726,0.009522338324377407
Flood,Thunderstorm Wind,1706,0.00941199836696863
Lightning,Hail,1680,0.009268556422337221
Heavy Rain,Thunderstorm Wind,1582,0.008727890631034217
Flash Flood,Heavy Rain,1565,0.008634101667236757
Funnel Cloud,Thunderstorm Wind,1481,0.008170673846119896
Thunderstorm Wind,Heavy Rain,1462,0.008065850886581558
Thunderstorm Wind,Funnel Cloud,1417,0.00781758598241181
High Wind,Strong Wind,1412,0.007790000993059616
Strong Wind,High Wind,1411,0.007784483995189178
Tornado,Flash Flood,1319,0.007276920191108806
Heavy Rain,Hail,1204,0.006642465436008342
Flash Flood,Tornado,1090,0.006013527678778316
Hail,Flood,1087,0.005996976685167
Hail,Heavy Rain,1058,0.005836983746924274
Heavy Rain,Flood,1003,0.005533548864050139
Winter Storm,Heavy Snow,846,0.004667380198391243
Heavy Snow,Winter Storm,841,0.0046397952090390495
Flood,Hail,839,0.004628761213298172
Lightning,Flash Flood,789,0.004352911319776231
Thunderstorm Wind,High Wind,781,0.00430877533681272
Funnel Cloud,Tornado,730,0.00402740844542034
Tornado,Funnel Cloud,703,0.003878449502918492
High Wind,Thunderstorm Wind,696,0.00383983051782542
Heat,Excessive Heat,676,0.003729490560416644
Flood,Heavy Rain,675,0.0037239735625462047
Heavy Snow,High Wind,673,0.0037129395668053272
Excessive Heat,Heat,669,0.003690871575323572
